,BTS,GROUPE,X,Y,commune_id
0,13X108,TLEMCEN_AUX,-1.41397,35.0425,2672.0
1,46X044,TLEMCEN_AUX,-1.37969,35.3016,2673.0
2,09X015,CENTRE_AUX,2.7874,36.5559,2674.0
3,15X028,CENTRE_AUX,4.15063,36.8147,2675.0
4,40X011,CONSTANTINE_AUX,7.08193,35.4625,2676.0
5,04X024,CONSTANTINE_AUX,6.56353,36.0367,2677.0
6,15X088,CENTRE_AUX,3.96959,36.7268,2678.0
7,24X008,CONSTANTINE_AUX,7.16367,36.3132,2679.0
8,06X016,SETIF_AUX,5.33635,36.627,2680.0
9,48X087,ORAN_AUX,0.91949,35.9633,2681.0
10,34X033,SETIF_AUX,5.03375,35.9519,2682.0
11,15X043,CENTRE_AUX,4.03691,36.7102,2683.0
12,30X063,AUXILIARY BL,6.43666,33.1095,2684.0
14,16X835,ALGER_AUX,2.9805,36.639,2685.0
15,14X062,ORAN_AUX,1.51908,35.4703,2686.0
16,02X072,ORAN_AUX,1.29275,36.5073,2687.0
17,16X373,CONSTANTINE_AUX,2.83871,36.6967,2688.0
18,38X057,ORAN_AUX,2.26623,35.8659,2689.0
19,46X004,TLEMCEN_AUX,-1.051,35.455,2690.0
20,16X580,ALGER_AUX,3.07502,36.732,2691.0
21,13X029,TLEMCEN_AUX,-1.75022,34.8502,2692.0
22,25X037,CONSTANTINE_AUX,6.69947,36.2575,2693.0
23,40X014,CONSTANTINE_AUX,6.63829,35.4037,2694.0
24,18X027,CONSTANTINE_AUX,6.27143,36.7514,2695.0
25,06X056,SETIF_AUX,4.82217,36.6094,2696.0
27,12X023,CONSTANTINE_AUX,8.12642,35.4014,2697.0
28,05X118,SETIF_AUX,5.36367,35.3877,2698.0
29,25X233,CONSTANTINE_AUX,6.5825,36.246,2693.0
30,28X129,AUXILIARY BL,4.52599,35.7112,2699.0
31,21X014,CONSTANTINE_AUX,6.88288,36.8295,2700.0
32,48X008,AUXILIARY BL,0.91503,35.96017,2681.0
33,27X086,ORAN_AUX,0.62575,36.1813,2701.0
34,24X027,CONSTANTINE_AUX,7.43961,36.5068,2702.0
35,17X121,SUD_AUX,3.22779,34.6639,2703.0
36,10X034,CENTRE_AUX,4.15468,36.3289,2704.0
37,16X726,ALGER_AUX,2.90798,36.6424,2705.0
38,20X013,SUD_AUX,0.32192,34.8242,2706.0
39,14X040,ORAN_AUX,1.49714,35.1849,2707.0
40,25X038,CONSTANTINE_AUX,6.5774,36.2621,2693.0
41,25X080,CONSTANTINE_AUX,6.56869,36.2515,2708.0
43,05X085,SETIF_AUX,5.37333,35.3102,2709.0
44,05X109,SETIF_AUX,6.64415,35.6678,2710.0
45,04X040,CONSTANTINE_AUX,7.10963,35.871,2711.0
46,02X056,ORAN_AUX,1.49103,36.21142,2712.0
47,28X055,SETIF_AUX,4.18301,35.2112,2713.0
48,06X118,SETIF_AUX,4.68972,36.5472,2714.0
49,19X043,SETIF_AUX,5.08986,36.3315,2715.0
50,16X800,ALGER_AUX,2.98475,36.7646,2716.0
51,16X710,AUXILIARY BL,3.29962,36.7893,2717.0
52,38X006,ORAN_AUX,1.55003,35.7466,2718.0
53,06X074,SETIF_AUX,5.05638,36.7302,2719.0
54,25X242,CONSTANTINE_AUX,6.56865,36.23043,2708.0
55,35X133,CENTRE_AUX,3.55626,36.7261,2720.0
57,08X029,SUD_AUX,-2.28701,30.3228,2721.0
58,17X066,AUXILIARY BL,3.22179,35.6303,2722.0
59,31X504,ORAN_AUX,-0.56559,35.6983,2723.0
60,29X051,ORAN_AUX,0.14142,35.3979,2724.0
61,16X463,ALGER_AUX,3.10728,36.7424,2725.0
62,06X047,SETIF_AUX,5.03594,36.7416,2719.0
63,27X001,ORAN_AUX,0.09525,35.9464,2726.0
64,28X075,SETIF_AUX,4.77562,35.6889,2727.0
65,20X068,TLEMCEN_AUX,0.15171,34.8767,2728.0
66,40X001,CONSTANTINE_AUX,7.14633,35.4333,2729.0
67,05X122,SETIF_AUX,5.38228,35.3799,2698.0
68,26X124,CENTRE_AUX,2.78897,36.2597,2730.0
69,23X083,CONSTANTINE_AUX,7.7524,36.9009,2731.0
70,10X022,CENTRE_AUX,3.99776,36.3974,2732.0
71,04X042,CONSTANTINE_AUX,7.37896,35.79542,2733.0
73,25X139,CONSTANTINE_AUX,6.60193,36.259,2693.0
74,24X014,CONSTANTINE_AUX,7.76352,36.3786,2734.0
76,28X045,SETIF_AUX,3.89619,35.6618,2735.0
77,29X159,ORAN_AUX,0.32892,35.4128,2736.0
78,21X014,AUXILIARY BL,6.88288,36.8295,2700.0
79,41X010,CONSTANTINE_AUX,8.19536,36.1535,2737.0
80,42X123,CENTRE_AUX,2.56683,36.4724,2738.0
82,15X067,ALGER_AUX,4.16935,36.813,2675.0
83,29X015,ORAN_AUX,-0.19581,35.5316,2739.0
84,14X120,ORAN_AUX,1.34389,35.3634,2740.0
85,35X079,CENTRE_AUX,3.30064,36.7009,2741.0
86,16X529,ALGER_AUX,2.94603,36.665,2705.0
87,25X175,CONSTANTINE_AUX,6.47736,36.3828,2742.0
88,44X002,AUXILIARY BL,1.95363,36.2557,2743.0
89,48X165,ORAN_AUX,0.9324,35.95526,2681.0
90,42X033,CENTRE_AUX,2.41703,36.5064,2744.0
91,13X006,TLEMCEN_AUX,-1.31744,34.8793,2745.0
93,24X009,CONSTANTINE_AUX,7.43888,36.5014,2702.0
94,34X027,SETIF_AUX,5.02827,36.1761,2746.0
95,24X068,CONSTANTINE_AUX,7.39941,36.5055,2747.0
96,12X041,CONSTANTINE_AUX,8.1005,35.3948,2697.0
98,36X031,CONSTANTINE_AUX,7.85952,36.833,2748.0
99,45X001,SUD_AUX,-0.31325,33.2662,2749.0
100,46X114,TLEMCEN_AUX,-1.0994,35.3902,2750.0
101,46X087,TLEMCEN_AUX,-1.01393,35.5281,2751.0
102,34X076,SETIF_AUX,4.78665,36.0806,2752.0
103,35X001,CENTRE_AUX,3.26061,36.682,2753.0
105,21X027,CONSTANTINE_AUX,6.91593,36.8817,2754.0
106,36X016,CONSTANTINE_AUX,8.31326,36.7653,2755.0
107,26X020,CENTRE_AUX,3.15265,35.8921,2756.0
108,09X033,CENTRE_AUX,2.84472,36.4878,2757.0
109,17X031,SUD_AUX,3.2261,34.365,2758.0
110,26X041,AUXILIARY BL,2.91327,36.1384,2759.0
111,16X877,ALGER_AUX,2.94401,36.7168,2760.0
112,16X861,ALGER_AUX,3.1895,36.6963,2761.0
114,38X032,ORAN_AUX,1.81005,35.6089,2762.0
115,14X162,ORAN_AUX,1.0585,35.0662,2763.0
117,25X089,CONSTANTINE_AUX,6.58898,36.3885,2764.0
118,04X038,CONSTANTINE_AUX,6.29295,35.895,2765.0
119,09X077,CENTRE_AUX,2.80055,36.4833,2757.0
120,42X006,CENTRE_AUX,2.45639,36.5833,2766.0
121,25X099,CONSTANTINE_AUX,6.58361,36.252,2693.0
122,07X086,SETIF_AUX,5.55454,34.6658,2767.0
123,05X012,SETIF_AUX,5.36748,35.3848,2698.0
124,09X099,CENTRE_AUX,2.85333,36.4877,2757.0
125,16X1484,ALGER_AUX,2.90188,36.66599,2768.0
