,BTS,X,Y,commune_id
0,13X108,-1.41397,35.0425,2672.0
1,46X044,-1.37969,35.3016,2673.0
2,09X015,2.7874,36.5559,2674.0
3,15X028,4.15063,36.8147,2675.0
4,40X011,7.08193,35.4625,2676.0
5,04X024,6.56353,36.0367,2677.0
6,15X088,3.96959,36.7268,2678.0
7,24X008,7.16367,36.3132,2679.0
8,06X016,5.33635,36.627,2680.0
9,48X087,0.91949,35.9633,2681.0
10,34X033,5.03375,35.9519,2682.0
11,15X043,4.03691,36.7102,2683.0
12,30X063,6.43666,33.1095,2684.0
13,16X835,2.9805,36.639,2685.0
14,14X062,1.51908,35.4703,2686.0
15,02X072,1.29275,36.5073,2687.0
16,16X373,2.83871,36.6967,2688.0
17,38X057,2.26623,35.8659,2689.0
18,46X004,-1.051,35.455,2690.0
19,16X580,3.07502,36.732,2691.0
20,13X029,-1.75022,34.8502,2692.0
21,25X037,6.69947,36.2575,2693.0
22,40X014,6.63829,35.4037,2694.0
23,18X027,6.27143,36.7514,2695.0
24,06X056,4.82217,36.6094,2696.0
25,12X023,8.12642,35.4014,2697.0
26,05X118,5.36367,35.3877,2698.0
27,25X233,6.5825,36.246,2693.0
28,28X129,4.52599,35.7112,2699.0
29,21X014,6.88288,36.8295,2700.0
30,48X008,0.91503,35.96017,2681.0
31,27X086,0.62575,36.1813,2701.0
32,24X027,7.43961,36.5068,2702.0
33,17X121,3.22779,34.6639,2703.0
34,10X034,4.15468,36.3289,2704.0
35,16X726,2.90798,36.6424,2705.0
36,20X013,0.32192,34.8242,2706.0
37,14X040,1.49714,35.1849,2707.0
38,25X038,6.5774,36.2621,2693.0
39,25X080,6.56869,36.2515,2708.0
40,05X085,5.37333,35.3102,2709.0
41,05X109,6.64415,35.6678,2710.0
42,04X040,7.10963,35.871,2711.0
43,02X056,1.49103,36.21142,2712.0
44,28X055,4.18301,35.2112,2713.0
45,06X118,4.68972,36.5472,2714.0
46,19X043,5.08986,36.3315,2715.0
47,16X800,2.98475,36.7646,2716.0
48,16X710,3.29962,36.7893,2717.0
49,38X006,1.55003,35.7466,2718.0
50,06X074,5.05638,36.7302,2719.0
51,25X242,6.56865,36.23043,2708.0
52,35X133,3.55626,36.7261,2720.0
53,08X029,-2.28701,30.3228,2721.0
54,17X066,3.22179,35.6303,2722.0
55,31X504,-0.56559,35.6983,2723.0
56,29X051,0.14142,35.3979,2724.0
57,16X463,3.10728,36.7424,2725.0
58,06X047,5.03594,36.7416,2719.0
59,27X001,0.09525,35.9464,2726.0
60,28X075,4.77562,35.6889,2727.0
61,20X068,0.15171,34.8767,2728.0
62,40X001,7.14633,35.4333,2729.0
63,05X122,5.38228,35.3799,2698.0
64,26X124,2.78897,36.2597,2730.0
65,23X083,7.7524,36.9009,2731.0
66,10X022,3.99776,36.3974,2732.0
67,04X042,7.37896,35.79542,2733.0
68,25X139,6.60193,36.259,2693.0
69,24X014,7.76352,36.3786,2734.0
70,28X045,3.89619,35.6618,2735.0
71,29X159,0.32892,35.4128,2736.0
73,41X010,8.19536,36.1535,2737.0
74,42X123,2.56683,36.4724,2738.0
75,15X067,4.16935,36.813,2675.0
76,29X015,-0.19581,35.5316,2739.0
