client_id,BTS,etat_client
13470350,13X108,Active
46070315,46X044,Active
9200065,09X015,Active
15280018,15X028,Active
40090008,40X011,Active
4070053,04X024,Active
15320213,15X088,Active
24300217,24X008,Active
6390114,06X016,Active
48270408,48X087,Active
34280199,34X033,Active
15010233,15X043,Active
30040032,30X063,Terminated
44230004,44X099,Active
16140192,16X835,Active
14370010,14X062,Active
2330192,02X072,Active
43140020,16X373,Active
38060014,38X057,Active
46170014,46X004,Active
16390399,16X580,Active
13380760,13X029,Active
25061451,25X037,Active
40130076,40X014,Active
18120390,18X027,Active
6011081,06X056,Active
16520474,16X029,Active
12010738,12X023,Active
5060047,05X118,Active
25061435,25X233,Active
28010854,28X129,Terminated
21180056,21X014,Active
48270339,48X008,Terminated
27180007,27X086,Active
24220135,24X027,Active
17010604,17X121,Active
10220002,10X034,Active
16250147,16X726,Active
45030073,20X013,Active
14380157,14X040,Active
25061224,25X038,Active
25030229,25X080,Active
22190046,22X086,Active
5080001,05X085,Active
5130052,05X109,Active
4160003,04X040,Active
2350008,02X056,Active
28130107,28X055,Active
6350107,06X118,Active
19270088,19X043,Active
16190307,16X800,Active
16030209,16X710,Terminated
38100117,38X006,Active
19260040,06X074,Active
25061076,25X242,Active
35290073,35X133,Active
27050001,27X032,Active
8090004,08X029,Active
17070099,17X066,Terminated
31013264,31X504,Active
29011064,29X051,Active
16520450,16X463,Active
6010515,06X047,Active
27011212,27X001,Active
28330091,28X075,Active
20110087,20X068,Active
40100009,40X001,Active
5060409,05X122,Active
26010585,26X124,Active
23060205,23X083,Active
10450039,10X022,Active
4040465,04X042,Active
16010498,16X726,Active
25061058,25X139,Active
24280045,24X014,Active
22010800,22X005,Active
28010167,28X045,Active
29450470,29X159,Active
21180045,21X014,Terminated
41210011,41X010,Active
42030096,42X123,Active
6010434,06X047,Active
16210334,15X067,Active
29440295,29X015,Active
14010322,14X120,Active
35180193,35X079,Active
16420261,16X529,Active
25090072,25X175,Active
44010402,44X002,Terminated
48270398,48X165,Active
42170396,42X033,Active
13010421,13X006,Active
6050399,06X109,Active
24220171,24X009,Active
34200012,34X027,Active
24180020,24X068,Active
12010640,12X041,Active
29011106,29X051,Active
36110135,36X031,Active
45090257,45X001,Active
46130162,46X114,Active
46110044,46X087,Active
34011240,34X076,Active
35160159,35X001,Active
42050021,42X012,Active
21010835,21X027,Active
36010174,36X016,Active
26020058,26X020,Active
9010371,09X033,Active
17040055,17X031,Active
26090177,26X041,Active
16010505,16X877,Active
16440143,16X861,Active
43270156,43X108,Active
38010120,38X032,Active
14130143,14X162,Active
22250030,22X071,Active
25012063,25X089,Active
4280038,04X038,Active
9010222,09X077,Active
42010215,42X006,Active
25061474,25X099,Active
7250018,07X086,Active
5060218,05X012,Active
9010856,09X099,Active
16410124,16X1484,Active
26590148,26X039,Active
45090573,45X056,Active
26180063,26X019,Active
19350033,19X042,Active
26020083,26X121,Active
16150111,16X422,Active
16160327,16X622,Active
27240057,27X063,Active
46130019,46X087,Terminated
3010373,03X069,Active
25050183,25X036,Active
17240325,17X002,Active
6370113,06X227,Active
36080083,36X077,Active
34070092,34X014,Active
2330206,02X079,Active
1270020,01X121,Active
31040269,31X013,Active
5210006,05X198,Active
16260312,16X054,Active
24220108,24X040,Active
5010977,05X003,Active
18090023,18X081,Active
24220129,24X084,Active
31010540,31X027,Active
44270460,44X115,Active
17010926,17X039,Active
9200156,09X122,Active
48270277,48X115,Active
23011862,23X011,Active
35040029,35X057,Active
2250054,02X008,Active
18010506,18X136,Active
9011227,09X118,Active
16160302,16X397,Active
31160182,31X060,Active
4060043,04X009,Active
23010267,23X119,Active
13110003,13X048,Active
4020010,04X017,Active
4040472,04X084,Active
16350169,16X853,Initiated for Approval
32010258,32X049,Active
48250070,48X048,Active
36170132,36X088,Active
2010875,02X199,Active
23090041,23X251,Active
48220007,48X037,Active
31150410,31X136,Active
31170024,31X197,Active
16130284,16X424,Active
41010297,41X001,Active
15210032,15X035,Active
16070357,16X782,Active
