COMMUNE,WILAYA
REMCHI,TLEMCEN
BENI SAF,AIN-TEMOUCHENT
OUED EL ALLEUG,BLIDA
BOUDJIMA,TIZI-OUZOU
EL HAMMA,KHENCHELA
AIN MLILA,OUM EL-BOUAGHI
DRAA BEN KHEDDA,TIZI-OUZOU
OUED ZENATI,GUELMA
SOUK EL THENINE,BEJAIA
OUED RHIOU,RELIZANE
RAS EL OUED,BORDJ-BOU-ARRERIDJ
TIZI OUZOU,TIZI-OUZOU
BENACEUR,TOUGGOURT
EL HASSANIA,CHLEF
BIRTOUTA,ALGER
SIDI HOSNI,TIARET
TENES,CHLEF
ZERALDA,ALGER
BORDJ EL EMIR ABDELKADER,TISSEMSILT
HASSI EL GHELLA,AIN-TEMOUCHENT
KOUBA,ALGER
MAGHNIA,TLEMCEN
EL KHROUB,CONSTANTINE
YABOUS,KHENCHELA
EL MILIA,JIJEL
SEMAOUNE,BEJAIA
HAMMA ANASSERS,ALGER
TEBESSA,TEBESSA
BARIKA,BATNA
MSILA,MSILA
EL HADAIEK,SKIKDA
NEKMARIA,MOSTAGANEM
HELIOPOLIS,GUELMA
DJELFA,DJELFA
EL ADJIBA,BOUIRA
DOUERA,ALGER
EL HASSASNA,SAIDA
SOUGUEUR,TIARET
AIN SMARA,CONSTANTINE
HASSI ZAHANA,SIDI-BELABBES
BITAM,BATNA
CHEMORA,BATNA
OUM EL BOUAGHI,OUM EL-BOUAGHI
OULED ABBES,CHLEF
BOUSAADA,MSILA
SEDDOUK,BEJAIA
BOUGAA,SETIF
DELY BRAHIM,ALGER
AIN TAYA,ALGER
LARDJEM,TISSEMSILT
BEJAIA,BEJAIA
THENIA,BOUMERDES
AIN NOUISSI,MOSTAGANEM
IGLI,BÉNI ABBÈS
BIRINE,DJELFA
SIDI CHAMI,ORAN
MASCARA,MASCARA
HUSSEIN DEY,ALGER
MOSTAGANEM,MOSTAGANEM
OULED DERRADJ,MSILA
OULED KHALED,SAIDA
KHENCHELA,KHENCHELA
MEDEA,MEDEA
ANNABA,ANNABA
HAIZER,BOUIRA
AIN BEIDA,OUM EL-BOUAGHI
OUED CHEHAM,GUELMA
SIDI BEL ABBES,SIDI-BELABBES
AIN EL HADJEL,MSILA
TIGHENNIF,MASCARA
SIDI FREDJ,SOUK-AHRAS
AHMER EL AIN,TIPAZA
SIG,MASCARA
TIARET,TIARET
KHEMIS EL KHECHNA,BOUMERDES
IBN ZIAD,CONSTANTINE
AIN-DEFLA,AIN-DEFLA
HADJOUT,TIPAZA
TLEMCEN,TLEMCEN
CHELATA,BEJAIA
KHELIL,BORDJ-BOU-ARRERIDJ
EL FEDJOUDJ,GUELMA
ECHATT,EL-TARF
NAAMA,NAAMA
EL MALAH,AIN-TEMOUCHENT
EL AMRIA,AIN-TEMOUCHENT
BORDJ BOU ARRERIDJ,BORDJ-BOU-ARRERIDJ
HAMMEDI,BOUMERDES
HATTATBA,TIPAZA
SKIKDA,SKIKDA
EL-TARF,EL-TARF
AIN BOUCIF,MEDEA
BLIDA,BLIDA
AIN EL IBEL,DJELFA
BERROUAGHIA,MEDEA
OULED FAYET,ALGER
OUED SMAR,ALGER
TELAGHMA,MILA
TISSEMSILT,TISSEMSILT
FRENDA,TIARET
MEZAOUROU,SIDI-BELABBES
CONSTANTINE,CONSTANTINE
BIR CHOUHADA,OUM EL-BOUAGHI
TIPAZA,TIPAZA
MLILI,BISKRA
MAHELMA,ALGER
TABLAT,MEDEA
MECHRIA,NAAMA
CHELLALAT EL ADHAOURA,MEDEA
EL OURICIA,SETIF
BOLOGHINE IBN ZIRI,ALGER
BORDJ EL BAHRI,ALGER
SIDI ALI,MOSTAGANEM
MEKHAREG,LAGHOUAT
HASSI BAHBAH,DJELFA
TIMZRIT,BEJAIA
BOUHADJAR,EL-TARF
BORDJ GHDIR,BORDJ-BOU-ARRERIDJ
TSABIT,ADRAR
AIN TURK,ORAN
GHASSIRA,BATNA
BABA HASSEN,ALGER
GUELAAT BOUSBAA,GUELMA
BATNA,BATNA
JIJEL,JIJEL
