COMMUNE,WILAYA,LATITUDE,LONGITUDE
EL HASSANIA,CHLEF,,
HAMMA ANASSERS,ALGER,,
HASSI ZAHANA,SIDI-BELABBES,,
AIN NOUISSI,MOSTAGANEM,,
SIDI BEL ABBES,SIDI-BELABBES,,
CHELATA,BEJAIA,,
HATTATBA,TIPAZA,,
TELAGHMA,MILA,,
MEZAOUROU,SIDI-BELABBES,,
MEKHAREG,LAGHOUAT,,
TIMZRIT,BEJAIA,,
BEN KHELIL,BLIDA,,
EL HMADNA,RELIZANE,,
AIN OUESSARA,DJELFA,,
SFISEF,SIDI-BELABBES,,
BOURACHED,CHLEF,,
TEGHALIMET,SIDI-BELABBES,,
OUED TAGHIA,MASCARA,,
SIDI AMER,ANNABA,,
HASSI FDOUL,DJELFA,,
TERRAI BAINEM,MILA,,
EL ABBADIA,AIN-DEFLA,,
TELAGH,SIDI-BELABBES,,
BEN BADIS,SIDI-BELABBES,,
EL HACHEM,MASCARA,,
OULED MAALAH,MOSTAGANEM,,
CHEBBALA MILAT,JIJEL,,
BOUKANEFIS,SIDI-BELABBES,,
EL MGHAIR,EL-OUED,,
BERRAHEL,ANNABA,,
OULHACA GHERRABA,AIN-TEMOUCHENT,,
BOUGHZOUL,MEDEA,,
ZEMMOURA,RELIZANE,,
CHLEF,TISSEMSILT,,
MAATKA,TIZI-OUZOU,,
SIDI LAHCENE,SIDI-BELABBES,,
SIDI KHALED,SIDI-BELABBES,,
EL HACAIBA,SIDI-BELABBES,,
MDAOUROUCHE,SOUK-AHRAS,,
DRAA ESSMAR,MEDEA,,
BACH DJERRAH,ALGER,,
AGHNI GOUGHRAN,TIZI-OUZOU,,
MOUADJEBAR,DJELFA,,
DJENIEN BOUREZG,NAAMA,,
AIN  BIYA,ORAN,,
ZERDEZAS,SKIKDA,,
DJISR KSENTINA,ALGER,,
MARHOUM,SIDI-BELABBES,,
TLATET ED DOUAIR,MEDEA,,
SIDI YACOUB,SIDI-BELABBES,,
OULED AHMED TIMI,ADRAR,,
TAKHMARET,TIARET,,
SIDI MHAMED BEN ALI,RELIZANE,,
OUGHLAL,BISKRA,,
MATMORE,MASCARA,,
DHAYET BENDAHOUA,GHARDAIA,,
MEZAGHRANE,MOSTAGANEM,,
TIZI NBECHAR,SETIF,,
EL HESSIANE,MOSTAGANEM,,
BELARBI,SIDI-BELABBES,,
BOUSSIF OULED AKSEUR,JIJEL,,
EL HOCEINIA,AIN-DEFLA,,
BENACHIBA CHELIA,SIDI-BELABBES,,
NGAOUS,BATNA,,
SIDI ALI BENYOUB,SIDI-BELABBES,,
OULED HADJADJ,BOUMERDES,,
GOLEA,GHARDAIA,,
HADJ MECHRI BOUALEM,EL-BAYADH,,
KIMIR OUED ADJOUL,JIJEL,,
TOLGA,EL M'GHAÏER,,
CHERCHAR,KHENCHELA,,
BENDJERRAH,GUELMA,,
ROUINA,CHLEF,,
DJEBILA,EL-OUED,,
TILMOUNI,SIDI-BELABBES,,
TESSALA,SIDI-BELABBES,,
MESAOUD BOUDJERIOU,CONSTANTINE,,
MACHRAA SFA,TIARET,,
BOUDRIA BENI YADJIS,JIJEL,,
OUED SEFIOUN,SIDI-BELABBES,,
HASSI MAAMECHE,MOSTAGANEM,,
EL MA LABIOD,TEBESSA,,
FIL FILA,SKIKDA,,
ZEROUALA,SIDI-BELABBES,,
MCIF,MSILA,,
EL MHIR,BORDJ-BOU-ARRERIDJ,,
OUGBELLIL,AIN-TEMOUCHENT,,
DJMILA,JIJEL,,
HAMMAM SKHOUNA,SETIF,,
RAS EL MA,SIDI-BELABBES,,
MCID,SIDI-BELABBES,,
EL MAYENE,AIN-DEFLA,,
BELAASSEL BOUZEGZA,RELIZANE,,
LAMTAR,SIDI-BELABBES,,
AIT CHAFFAA,TIZI-OUZOU,,
EL DJEZIA,OUM EL-BOUAGHI,,
BEN DAOUD,RELIZANE,,
TRIFAOU,EL-OUED,,
INOUGHISSENE,BATNA,,
OUENOUGHA,MSILA,,
EL GUEDDID,DJELFA,,
HAD CHEKKALA,RELIZANE,,
TALKHEMT,BATNA,,
EL MCHIRA,MILA,,
SIDI DAHO,SIDI-BELABBES,,
SIDI HAMADOUCHE,SIDI-BELABBES,,
SIDI ALI BOUSSIDI,SIDI-BELABBES,,
LAGHATA,BOUMERDES,,
DERRADJI BOUSSELAH,MILA,,
OULED YAHIA KHADROUCHE,JIJEL,,
BORDJ OUKHRISS,BOUIRA,,
AMARNAS,SIDI-BELABBES,,
HARAOUA,ALGER,,
MORSOT,TEBESSA,,
STILL,EL-OUED,,
TAOUZIANAT,KHENCHELA,,
TIZI NBERBER,BEJAIA,,
REDJEM DEMMOUCHE,SIDI-BELABBES,,
OUED TAOURIRA,SIDI-BELABBES,,
BORDJ SABATH,GUELMA,,
BOUCHAGROUN,BISKRA,,
EL MAZERAA,TEBESSA,,
TENIRA,SIDI-BELABBES,,
BOUTI SAYEH,MSILA,,
TACHTA ZEGARRA,AIN-DEFLA,,
MTOUSSA,KHENCHELA,,
SELIAOUA ANNOUNA,GUELMA,,
AHMED RACHDI,MILA,,
EL MANSOURA,GHARDAIA,,
TAMZOUGHA,AIN-TEMOUCHENT,,
KHANGAT SIDI NADJI,BISKRA,,
