COMMUNE,WILAYA,LATITUDE,LONGITUDE
REMCHI,TLEMCEN,35.0617268,-1.4318326
BENI SAF,AIN-TEMOUCHENT,35.3025458,-1.382036
OUED EL ALLEUG,BLIDA,36.5558374,2.7896358
BOUDJIMA,TIZI-OUZOU,36.8047072,4.14884
EL HAMMA,KHENCHELA,35.4716036,7.0856456
AIN MLILA,OUM EL-BOUAGHI,36.0375444,6.570986
DRAA BEN KHEDDA,TIZI-OUZOU,36.7333317,3.9587692
OUED ZENATI,GUELMA,36.3130761,7.164528
SOUK EL THENINE,BEJAIA,36.6251894,5.3365523
OUED RHIOU,RELIZANE,35.9607535,0.9180664
RAS EL OUED,BORDJ-BOU-ARRERIDJ,35.9445677,5.0319396
TIZI OUZOU,TIZI-OUZOU,36.7137843,4.0493919
BENACEUR,TOUGGOURT,33.1105213,6.4421107
BIRTOUTA,ALGER,36.6449884,2.9985533
SIDI HOSNI,TIARET,35.5288935,1.5065668
TENES,CHLEF,36.5080818,1.3078072
ZERALDA,ALGER,36.7120392,2.8407894
BORDJ EL EMIR ABDELKADER,TISSEMSILT,35.8222005,2.23692
HASSI EL GHELLA,AIN-TEMOUCHENT,35.4548282,-1.0546776
KOUBA,ALGER,36.7323557,3.0874783
MAGHNIA,TLEMCEN,34.8498681,-1.7296796
EL KHROUB,CONSTANTINE,36.2603681,6.6970014
YABOUS,KHENCHELA,35.407649,6.6416748
EL MILIA,JIJEL,36.7514104,6.2744614
SEMAOUNE,BEJAIA,36.5926863,4.5833036
TEBESSA,TEBESSA,35.4035956,8.1212322
BARIKA,BATNA,35.3846699,5.3702215
MSILA,MSILA,35.7087553,4.5371552
EL HADAIEK,SKIKDA,36.8252292,6.8890251
NEKMARIA,MOSTAGANEM,36.1788972,0.6295316
HELIOPOLIS,GUELMA,36.5306233,7.4348224
DJELFA,DJELFA,34.671359,3.254037
EL ADJIBA,BOUIRA,36.3293456,4.1586858
DOUERA,ALGER,36.6694089,2.9421031
EL HASSASNA,SAIDA,34.7513368,0.3396981
SOUGUEUR,TIARET,35.1856739,1.4960929
AIN SMARA,CONSTANTINE,36.266467,6.4969576
BITAM,BATNA,35.3077781,5.3740815
CHEMORA,BATNA,35.6298861,6.6056111
OUM EL BOUAGHI,OUM EL-BOUAGHI,35.8687758,7.1150645
OULED ABBES,CHLEF,36.2147686,1.4860684
BOUSAADA,MSILA,35.2133123,4.1809702
SEDDOUK,BEJAIA,36.5472337,4.6894642
BOUGAA,SETIF,36.3322264,5.0895897
DELY BRAHIM,ALGER,36.7516098,2.9825732
AIN TAYA,ALGER,36.7912902,3.2926194
LARDJEM,TISSEMSILT,35.7480295,1.5480772
BEJAIA,BEJAIA,36.7511783,5.0643687
THENIA,BOUMERDES,36.724986,3.556935
IGLI,BÉNI ABBÈS,30.4528493,-2.2908264
BIRINE,DJELFA,35.6337386,3.2244016
SIDI CHAMI,ORAN,35.6579939,-0.5220152
MASCARA,MASCARA,35.394081,0.1379568
HUSSEIN DEY,ALGER,36.7429388,3.094027
MOSTAGANEM,MOSTAGANEM,35.928808,0.089978
OULED DERRADJ,MSILA,35.6721703,4.7876916
OULED KHALED,SAIDA,34.9220728,0.1765338
KHENCHELA,KHENCHELA,35.430154,7.145711
MEDEA,MEDEA,36.265344,2.766957
ANNABA,ANNABA,36.8982165,7.7549272
HAIZER,BOUIRA,36.3979925,3.9994448
AIN BEIDA,OUM EL-BOUAGHI,35.7952839,7.3894346
OUED CHEHAM,GUELMA,36.3526366,7.7909725
AIN EL HADJEL,MSILA,35.6179388,3.8654197
TIGHENNIF,MASCARA,35.4143144,0.3292328
SIDI FREDJ,SOUK-AHRAS,36.1530958,8.1952696
AHMER EL AIN,TIPAZA,36.5012961,2.5716532
SIG,MASCARA,35.5305119,-0.1906822
TIARET,TIARET,35.3661448,1.3194687
KHEMIS EL KHECHNA,BOUMERDES,36.6505384,3.3317211
IBN ZIAD,CONSTANTINE,36.3829267,6.4720589
AIN-DEFLA,AIN-DEFLA,36.2657178,1.9701347
HADJOUT,TIPAZA,36.5121198,2.4142888
TLEMCEN,TLEMCEN,34.881789,-1.316699
KHELIL,BORDJ-BOU-ARRERIDJ,36.2362029,5.0157162
EL FEDJOUDJ,GUELMA,36.5042115,7.4013726
ECHATT,EL-TARF,36.8303087,7.8727514
NAAMA,NAAMA,33.2647342,-0.3110393
EL MALAH,AIN-TEMOUCHENT,35.3899817,-1.0959775
EL AMRIA,AIN-TEMOUCHENT,35.5248267,-1.0145245
BORDJ BOU ARRERIDJ,BORDJ-BOU-ARRERIDJ,36.0741121,4.7613476
HAMMEDI,BOUMERDES,36.6800253,3.2596049
SKIKDA,SKIKDA,36.8801317,6.9077363
EL-TARF,EL-TARF,36.7667186,8.3169418
AIN BOUCIF,MEDEA,35.8354145,3.1577821
BLIDA,BLIDA,36.4705658,2.8274937
AIN EL IBEL,DJELFA,34.3550616,3.2238301
BERROUAGHIA,MEDEA,36.1352805,2.9172738
OULED FAYET,ALGER,36.7355249,2.9509064
OUED SMAR,ALGER,36.7044199,3.1681561
TISSEMSILT,TISSEMSILT,35.604813,1.810476
FRENDA,TIARET,35.0655965,1.0566092
CONSTANTINE,CONSTANTINE,36.3641642,6.6084281
BIR CHOUHADA,OUM EL-BOUAGHI,35.9007352,6.2454458
TIPAZA,TIPAZA,36.5918179,2.4482509
MLILI,BISKRA,34.5760922,5.6243246
MAHELMA,ALGER,36.6823629,2.87765
TABLAT,MEDEA,36.4127653,3.3097893
MECHRIA,NAAMA,33.5428415,-0.2750524
CHELLALAT EL ADHAOURA,MEDEA,35.9396178,3.4140092
EL OURICIA,SETIF,36.2837674,5.4095661
BOLOGHINE IBN ZIRI,ALGER,36.8099201,2.9788282
BORDJ EL BAHRI,ALGER,36.7906241,3.2501614
SIDI ALI,MOSTAGANEM,36.0997945,0.4206226
HASSI BAHBAH,DJELFA,35.0747536,3.0270488
BOUHADJAR,EL-TARF,36.5034174,8.1060862
BORDJ GHDIR,BORDJ-BOU-ARRERIDJ,35.8991893,4.899182
TSABIT,ADRAR,28.3509683,-0.2161001
AIN TURK,ORAN,35.7400353,-0.7539496
GHASSIRA,BATNA,35.0970768,6.2228071
BABA HASSEN,ALGER,36.6946975,2.9735467
